date,value
29.06.2021,150.35
30.06.2021,149.93
01.07.2021,146.79
02.07.2021,143.64
06.07.2021,139
07.07.2021,140.73
08.07.2021,142.89
09.07.2021,142.19
12.07.2021,144.53
13.07.2021,142.89
14.07.2021,146.97
15.07.2021,147.4
16.07.2021,151.43
19.07.2021,146.79
20.07.2021,156.55
21.07.2021,165.18
22.07.2021,181.75
23.07.2021,177.38
26.07.2021,195.03
27.07.2021,189.35
28.07.2021,188.13
29.07.2021,184.42
30.07.2021,168.51
02.08.2021,162.18
03.08.2021,164.1
04.08.2021,164.85
05.08.2021,166.03
06.08.2021,165.75
09.08.2021,169.49
10.08.2021,172.56
11.08.2021,174.91
12.08.2021,177.94
13.08.2021,174.33
16.08.2021,174.8
17.08.2021,170.81
18.08.2021,171.61
19.08.2021,170.15
20.08.2021,170.34
23.08.2021,170.67
24.08.2021,174.33
25.08.2021,174.89
26.08.2021,176.44
27.08.2021,180.38
30.08.2021,187.61
31.08.2021,183.86
01.09.2021,183.62
02.09.2021,182.4
03.09.2021,181.14
07.09.2021,182.03
08.09.2021,178.51
09.09.2021,175.93
10.09.2021,176.49
13.09.2021,175.32
14.09.2021,174.05
15.09.2021,175.83
16.09.2021,176.58
17.09.2021,174.94
20.09.2021,171.37
21.09.2021,172.08
22.09.2021,173.49
23.09.2021,178.88
24.09.2021,182.4
27.09.2021,181.75
28.09.2021,186.39
29.09.2021,181.51
30.09.2021,182.07
01.10.2021,191.51
04.10.2021,188.03
05.10.2021,180.1
06.10.2021,181.56
07.10.2021,185.73
08.10.2021,188.97
11.10.2021,191.69
12.10.2021,200.05
13.10.2021,195.82
14.10.2021,196.39
15.10.2021,190.9
18.10.2021,189.21
19.10.2021,191.69
20.10.2021,192.91
21.10.2021,190.8
22.10.2021,187.56
25.10.2021,190.1
26.10.2021,195.31
27.10.2021,188.97
28.10.2021,187.66
29.10.2021,191.41
01.11.2021,195.87
02.11.2021,195.26
03.11.2021,196.43
04.11.2021,195.78
05.11.2021,191.57
08.11.2021,188.43
09.11.2021,194.79
10.11.2021,193.49
11.11.2021,200.19
12.11.2021,208.31
15.11.2021,211.17
16.11.2021,210.7
17.11.2021,220.32
18.11.2021,215.06
19.11.2021,219.05
22.11.2021,217.08
23.11.2021,227.17
24.11.2021,230.31
26.11.2021,228.02
29.11.2021,218.68
30.11.2021,218.02
01.12.2021,218.91
02.12.2021,222.06
03.12.2021,228.39
06.12.2021,234.49
07.12.2021,228.34
08.12.2021,229.19
09.12.2021,225.43
10.12.2021,218.3
13.12.2021,222.15
14.12.2021,222.57
15.12.2021,222.71
16.12.2021,222.29
17.12.2021,220.32
20.12.2021,210.32
21.12.2021,214.22
22.12.2021,219.19
23.12.2021,216.99
27.12.2021,213.09
28.12.2021,211.73
29.12.2021,214.83
30.12.2021,214.78
31.12.2021,212.2
03.01.2022,209.57
04.01.2022,217.5
05.01.2022,217.5
06.01.2022,217.46
07.01.2022,223.79
10.01.2022,220.46
11.01.2022,222.48
12.01.2022,226.04
13.01.2022,222.43
14.01.2022,224.92
18.01.2022,224.87
19.01.2022,229.42
20.01.2022,228.67
21.01.2022,223.28
24.01.2022,218.63
25.01.2022,223.28
26.01.2022,224.21
27.01.2022,217.79
28.01.2022,221.4
31.01.2022,220.65
01.02.2022,222.15
02.02.2022,224.12
03.02.2022,228.91
04.02.2022,226.98
07.02.2022,226.92
08.02.2022,233.82
09.02.2022,242.52
10.02.2022,239.55
11.02.2022,236.56
14.02.2022,232.66
15.02.2022,236.27
16.02.2022,237.17
17.02.2022,235.24
18.02.2022,230.88
22.02.2022,232.05
23.02.2022,232.33
24.02.2022,223.28
25.02.2022,223.98
28.02.2022,218.58
01.03.2022,221.49
02.03.2022,215.11
03.03.2022,209.2
04.03.2022,210.46
07.03.2022,210.46
08.03.2022,218.58
09.03.2022,215.2
10.03.2022,210.42
11.03.2022,208.31
14.03.2022,205.35
15.03.2022,198.17
16.03.2022,204.13
17.03.2022,202.82
18.03.2022,206.52
21.03.2022,210.84
22.03.2022,211.22
23.03.2022,211.45
24.03.2022,208.21
25.03.2022,208.21
28.03.2022,201.36
29.03.2022,202.44
30.03.2022,208.21
31.03.2022,212.48
01.04.2022,214.36
04.04.2022,216.42
05.04.2022,217.08
06.04.2022,213.61
07.04.2022,212.25
08.04.2022,217.37
11.04.2022,222.03
12.04.2022,219.2
13.04.2022,211.31
14.04.2022,210
18.04.2022,210
19.04.2022,208.07
20.04.2022,205.96
21.04.2022,214.08
22.04.2022,213.19
25.04.2022,207.13
26.04.2022,207.56
27.04.2022,202.3
28.04.2022,204.22
29.04.2022,208.45
02.05.2022,202.63
03.05.2022,204.55
04.05.2022,207.23
05.05.2022,203.89
06.05.2022,197.51
09.05.2022,193.43
10.05.2022,191.27
11.05.2022,206.38
12.05.2022,202.06
13.05.2022,200.75
16.05.2022,210.98
17.05.2022,213.23
18.05.2022,204.22
19.05.2022,205.26
20.05.2022,202.58
23.05.2022,202.49
24.05.2022,200.52
25.05.2022,203.71
26.05.2022,212.67
27.05.2022,215.34
31.05.2022,217.03
01.06.2022,224.73
02.06.2022,223.6
03.06.2022,218.11
06.06.2022,222.95
07.06.2022,217.92
08.06.2022,217.65
09.06.2022,220.31
10.06.2022,214.75
13.06.2022,209.71
14.06.2022,212.95
15.06.2022,214.45
16.06.2022,217.55
17.06.2022,213.42
21.06.2022,218.07
22.06.2022,221.87
23.06.2022,214.92
24.06.2022,209.53
27.06.2022,208.45
28.06.2022,204.36
29.06.2022,214.22
30.06.2022,215.95
01.07.2022,210.84
05.07.2022,207.46
06.07.2022,205.73
07.07.2022,205.44
08.07.2022,206.9
11.07.2022,200.14
12.07.2022,192.73
13.07.2022,194.6
14.07.2022,183.29
15.07.2022,187.52
18.07.2022,201.97
19.07.2022,203.19
20.07.2022,204.74
21.07.2022,202.58
22.07.2022,193.99
25.07.2022,197.14
26.07.2022,200.09
27.07.2022,205.63
28.07.2022,204.97
29.07.2022,203.85
01.08.2022,200.09
02.08.2022,197
03.08.2022,201.45
04.08.2022,205.82
05.08.2022,196
08.08.2022,197.59
09.08.2022,197.56
10.08.2022,203.29
11.08.2022,206.05
12.08.2022,208.73
15.08.2022,207.93
16.08.2022,203
17.08.2022,201.22
18.08.2022,198.83
19.08.2022,200.23
22.08.2022,207.6
23.08.2022,214.22
24.08.2022,224.31
25.08.2022,224.78
26.08.2022,223.46
29.08.2022,222.06
30.08.2022,220.74
31.08.2022,220.79
01.09.2022,218.21
02.09.2022,214.73
06.09.2022,216.1
07.09.2022,209.53
08.09.2022,208.54
09.09.2022,214.45
12.09.2022,210.93
13.09.2022,207.13
14.09.2022,201.64
15.09.2022,203.1
16.09.2022,201.88
19.09.2022,207.51
20.09.2022,211.31
21.09.2022,207.7
22.09.2022,209.81
23.09.2022,206.9
26.09.2022,210.04
27.09.2022,210.56
28.09.2022,214.64
29.09.2022,211.83
30.09.2022,207.93
03.10.2022,202.49
04.10.2022,205.82
05.10.2022,210.84
06.10.2022,204.32
07.10.2022,204.69
